(13, 1)/(9, 9)-->13
(13, 1)/(10, 9)-->12
(13, 1)/(13, 9)-->11
(13, 1)/(14, 9)-->12
(13, 1)/(15, 9)-->13
(13, 1)/(16, 9)-->14
(13, 1)/(1, 10)-->24
(13, 1)/(2, 10)-->23
(13, 1)/(3, 10)-->22
(13, 1)/(4, 10)-->21
(13, 1)/(7, 10)-->18
(13, 1)/(8, 10)-->17
(13, 1)/(9, 10)-->16
(13, 1)/(10, 10)-->15
(13, 1)/(13, 10)-->14
(13, 1)/(14, 10)-->15
(13, 1)/(15, 10)-->16
(14, 1)/(15, 1)-->2
(14, 1)/(16, 1)-->3
(14, 1)/(1, 2)-->17
(14, 1)/(2, 2)-->16
(14, 1)/(3, 2)-->15
(14, 1)/(4, 2)-->14
(14, 1)/(7, 2)-->11
(14, 1)/(8, 2)-->10
(14, 1)/(9, 2)-->9
(14, 1)/(10, 2)-->8
(14, 1)/(13, 2)-->7
(14, 1)/(14, 2)-->8
(14, 1)/(15, 2)-->9
(14, 1)/(16, 2)-->8
(14, 1)/(1, 5)-->18
(14, 1)/(2, 5)-->17
(14, 1)/(3, 5)-->16
(14, 1)/(4, 5)-->15
(14, 1)/(7, 5)-->12
(14, 1)/(8, 5)-->11
(14, 1)/(9, 5)-->10
(14, 1)/(10, 5)-->9
(14, 1)/(13, 5)-->8
(14, 1)/(14, 5)-->9
(14, 1)/(15, 5)-->10
(14, 1)/(16, 5)-->9
(14, 1)/(1, 6)-->21
(14, 1)/(2, 6)-->20
(14, 1)/(3, 6)-->19
(14, 1)/(4, 6)-->18
(14, 1)/(7, 6)-->15
(14, 1)/(8, 6)-->14
(14, 1)/(9, 6)-->13
(14, 1)/(10, 6)-->12
(14, 1)/(13, 6)-->11
(14, 1)/(14, 6)-->12
(14, 1)/(15, 6)-->13
(14, 1)/(16, 6)-->12
(14, 1)/(1, 9)-->22
(14, 1)/(2, 9)-->21
(14, 1)/(3, 9)-->20
(14, 1)/(4, 9)-->19
(14, 1)/(7, 9)-->16
(14, 1)/(8, 9)-->15
(14, 1)/(9, 9)-->14
(14, 1)/(10, 9)-->13
(14, 1)/(13, 9)-->12
(14, 1)/(14, 9)-->13
(14, 1)/(15, 9)-->14
(14, 1)/(16, 9)-->13
(14, 1)/(1, 10)-->25
(14, 1)/(2, 10)-->24
(14, 1)/(3, 10)-->23
(14, 1)/(4, 10)-->22
(14, 1)/(7, 10)-->19
(14, 1)/(8, 10)-->18
(14, 1)/(9, 10)-->17
(14, 1)/(10, 10)-->16
(14, 1)/(13, 10)-->15
(14, 1)/(14, 10)-->16
(14, 1)/(15, 10)-->17
(15, 1)/(16, 1)-->2
(15, 1)/(1, 2)-->18
(15, 1)/(2, 2)-->17
(15, 1)/(3, 2)-->16
(15, 1)/(4, 2)-->15
(15, 1)/(7, 2)-->12
(15, 1)/(8, 2)-->11
(15, 1)/(9, 2)-->10
(15, 1)/(10, 2)-->9
(15, 1)/(13, 2)-->8
(15, 1)/(14, 2)-->9
(15, 1)/(15, 2)-->8
(15, 1)/(16, 2)-->7
(15, 1)/(1, 5)-->19
(15, 1)/(2, 5)-->18
(15, 1)/(3, 5)-->17
